id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
550438932299935744,550438932299935744,2014-12-31 18:50:42 EST,2014-12-31,18:50:42,-0400,2347387548,mariamullis2017,Maria,"{'type': 'Point', 'coordinates': [35.34646135, -80.16677723]}",The Wendy's in Albemarle consists of really old people. The Wendy's on UNC's campus consists of drunk college kids #location,en,[],[],[],0,1,3,['location'],[],https://twitter.com/MariaMullis2017/status/550438932299935744,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
550395720399085568,550395720399085568,2014-12-31 15:59:00 EST,2014-12-31,15:59:00,-0400,745709862,lildessy_,✨,"{'type': 'Point', 'coordinates': [36.80965674, -76.26285463]}",Pizza and Hot Wings 😩😋,en,[],[],[],0,0,0,[],[],https://twitter.com/LilDessy_/status/550395720399085568,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
550379970007412736,550379970007412736,2014-12-31 14:56:25 EST,2014-12-31,14:56:25,-0400,91819509,mikeprowse,Xander Cage,"{'type': 'Point', 'coordinates': [33.98497219, -80.99239285]}",Jalepeno chips  http://t.co/apbz0O3qDk,in,[],['http://youtu.be/RZmwn0LNhGo'],[],0,0,0,[],[],https://twitter.com/MikeProwse/status/550379970007412736,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
550364712421302272,550364712421302272,2014-12-31 13:55:47 EST,2014-12-31,13:55:47,-0400,1711580886,apdockum,Anna Dockum,"{'type': 'Point', 'coordinates': [37.60703359, -77.45010972]}",I like to eat pizza while listening to #PlayWithFire by @JustinDearborn feat. @iAmGreggJames check it out!  http://t.co/Y9NpNZRa45,en,"[{'screen_name': 'justindearborn', 'name': 'justin dearborn', 'id': '4050688996'}]",['http://tinyurl.com/kafonuc'],[],0,0,0,['playwithfire'],[],https://twitter.com/apdockum/status/550364712421302272,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
550358805272612864,550358805272612864,2014-12-31 13:32:19 EST,2014-12-31,13:32:19,-0400,806738929,_scarity,Skelewhore,"{'type': 'Point', 'coordinates': [34.8102098, -79.5392968]}",Pizza Inn with my husbands family? I think yes.,en,[],[],[],0,0,0,[],[],https://twitter.com/_scarity/status/550358805272612864,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
550357698844573697,550357698844573697,2014-12-31 13:27:55 EST,2014-12-31,13:27:55,-0400,23163064,emranija,Emerald Eye,"{'type': 'Point', 'coordinates': [37.42946563, -77.62316108]}","Lunch with bubuleh. (@ Chick-fil-A in Midlothian, VA)  https://t.co/BCLzAb8EJ0",en,[],['https://www.swarmapp.com/c/4IOTXb8h0ZS'],[],0,0,0,[],[],https://twitter.com/Emranija/status/550357698844573697,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
550346146095570945,550346146095570945,2014-12-31 12:42:00 EST,2014-12-31,12:42:00,-0400,386274432,_tliv,taylor booher,"{'type': 'Point', 'coordinates': [37.31021494, -81.26368806]}",do I want to go out tonight? or do I want to stay in and watch movies and eat junk food? Tough decision here.,en,[],[],[],0,0,2,[],[],https://twitter.com/_tliv/status/550346146095570945,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
550343035884929026,550343035884929026,2014-12-31 12:29:39 EST,2014-12-31,12:29:39,-0400,424701865,kidz4jc,Kevin Corey,"{'type': 'Point', 'coordinates': [37.35276057, -79.16674749]}",Chase chips a tooth at the ice skating rink last night. What can he break today on the slopes? #LUWinterfest #C4atWF  http://t.co/epHbdXpkXQ,en,[],[],['https://pbs.twimg.com/media/B6M2ElkIQAA5QBY.jpg'],0,0,1,"['luwinterfest', 'c4atwf']",[],https://twitter.com/kidz4jc/status/550343035884929026,False,,1,https://pbs.twimg.com/media/B6M2ElkIQAA5QBY.jpg,,"35.759573,-79.0193,200mi",,,,,[],,,,
550341719393599488,550341719393599488,2014-12-31 12:24:25 EST,2014-12-31,12:24:25,-0400,319303489,kieramonique1,Kiera 🌺,"{'type': 'Point', 'coordinates': [36.81708292, -76.26756334]}",I wish I could've went to the chick fil a peach bowl 😔,en,[],[],[],0,0,0,[],[],https://twitter.com/Kieramonique1/status/550341719393599488,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
550318795164626945,550318795164626945,2014-12-31 10:53:19 EST,2014-12-31,10:53:19,-0400,14653305,jokerairwick,JokerAirWick,"{'type': 'Point', 'coordinates': [35.140734, -80.734051]}",#wcw #WednesdayCrunchWrap #TacoBell @tacobell #NYE @ Taco Bell  http://t.co/2ZrpTJJxOM,en,"[{'screen_name': 'tacobell', 'name': 'taco bell', 'id': '7831092'}]",['http://instagram.com/p/xRt4NbLGrK/'],[],0,0,0,"['wcw', 'wednesdaycrunchwrap', 'tacobell', 'nye']",[],https://twitter.com/JokerAirWick/status/550318795164626945,False,,0,,,"35.759573,-79.0193,200mi",,,,,[],,,,
